DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2016,79.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2017,74.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2018,72.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2005,73.2,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2006,75.4,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2007,78.3,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2008,81,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2009,83.3,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2010,83.8,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2011,82.7,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2012,83.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2013,84,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2014,84.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2015,83.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2016,85.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2017,85.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2018,84.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2005,73.3,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2006,75.7,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2007,78.4,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2008,80.9,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2009,83.4,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2010,83.5,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2011,83,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2012,83.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2013,84.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2014,82.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2015,83,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2016,85,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2017,84.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU28,2018,82.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2000,61.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2001,58,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2002,60.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2003,62.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2004,70.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2005,79.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2006,86.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2007,87.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2008,93.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2009,94.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2010,96.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2011,96.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2012,99.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2013,97.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2014,101.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2015,111.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2016,114.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2017,116.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FI,2018,116,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2000,59,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2001,61.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2002,64.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2003,69.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2004,76.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2005,80.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2006,84.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2007,89,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2008,86.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2009,85.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2010,91.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2011,88,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2012,91.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2013,95.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2014,94.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2015,92,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2016,93.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2017,98.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,FR,2018,92.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2012,96.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2013,88.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2014,76.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2015,89.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2016,82.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2017,83.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HR,2018,93.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2004,67,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2005,85.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2006,94.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2007,86.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2008,90.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2009,94,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2010,94.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2011,94,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2012,73,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2013,78.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2014,66.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2015,75.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2016,77,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2017,74.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,HU,2018,67.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2000,16.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2001,24.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2002,35.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2003,65.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2004,70,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2005,71.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2006,73.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2007,77,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2008,78.2,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2009,81.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2010,84,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,IE,2011,91.5,
